County,Scored Labels,Scored Probabilities
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0.125
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0.125
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0.125
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.25
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0.25
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0.25
San Luis Obispo,0,0
San Mateo,0,0.125
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0.25
Sierra,0,0
Siskiyou,0,0.125
Solano,0,0
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0.125
Trinity,0,0
Tulare,0,0.125
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0.125
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0.125
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0.125
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.25
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0.125
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0.25
Sierra,0,0
Siskiyou,0,0
Solano,0,0.125
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0.125
Trinity,0,0
Tulare,0,0
Tuolumne,0,0.125
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0.125
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0.125
Lake,0,0
Lassen,0,0.125
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0.125
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0.25
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.375
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0.125
San Diego,0,0.125
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0.125
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0.125
Sierra,0,0.125
Siskiyou,0,0.125
Solano,0,0
Sonoma,0,0.25
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0.125
Glenn,0,0
Humboldt,0,0.125
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0.125
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.375
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0.25
Sierra,0,0
Siskiyou,0,0
Solano,0,0.125
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0.125
El Dorado,0,0
Fresno,0,0.125
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0.125
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.5
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0.125
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0.125
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0.25
Sierra,0,0
Siskiyou,0,0
Solano,0,0.125
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0.25
Tulare,0,0.0625
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0.125
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0.125
Glenn,0,0
Humboldt,0,0
Imperial,0,0.25
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.375
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0.125
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0.125
El Dorado,0,0.007620399
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.375
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0.125
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0.125
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0.125
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.5
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0.125
Santa Barbara,0,0
Santa Clara,0,0.125
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0.083333333
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0.125
Plumas,0,0
Riverside,0,0.5
Sacramento,0,0.125
San Benito,0,0.125
San Bernardino,0,0
San Diego,0,0.375
San Francisco,0,0
San Joaquin,0,0.125
San Luis Obispo,0,0
San Mateo,0,0.125
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0.25
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0.125
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0.125
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0.354166667
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0.125
Mono,0,0.125
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0.125
Plumas,0,0
Riverside,0,0.5
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0.125
San Diego,0,0.125
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0.125
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0.125
Santa Cruz,0,0
Shasta,0,0.125
Sierra,0,0
Siskiyou,0,0.125
Solano,0,0.125
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0.125
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0.125
Fresno,0,0
Glenn,0,0
Humboldt,0,0.375
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0.125
Marin,0,0.125
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0.125
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.375
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0.125
San Mateo,0,0.125
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0.125
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0.125
Trinity,0,0
Tulare,0,0
Tuolumne,0,0.125
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0.125
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0.125
Nevada,0,0.125
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.375
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0.125
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0.125
Shasta,0,0.015625
Sierra,0,0.375
Siskiyou,0,0
Solano,0,0
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0.125
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0.125
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0
Inyo,0,0
Kern,0,0
Kings,0,0.125
Lake,0,0
Lassen,0,0
Los Angeles,0,0.125
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0.125
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.25
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0.125
San Diego,0,0.125
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0.125
San Mateo,0,0.125
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0.125
Shasta,0,0.125
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0.125
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0.125
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.375
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0.125
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0.125
Shasta,0,0.125
Sierra,0,0.125
Siskiyou,0,0
Solano,0,0
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0.5
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0.125
Fresno,0,0
Glenn,0,0
Humboldt,0,0.125
Imperial,0,0
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0.125
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0.125
Plumas,0,0
Riverside,0,0
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0.125
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0.5
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0.125
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0.125
Trinity,0,0
Tulare,0,0.125
Tuolumne,0,0
Ventura,0,0.125
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0.375
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0.5
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.125
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0.125
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0.375
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0.25
Sierra,0,0
Siskiyou,0,0.25
Solano,0,0.125
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0.125
Trinity,0,0.125
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0.125
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0.125
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0.125
Fresno,0,0
Glenn,0,0
Humboldt,0,0.5
Imperial,0,0
Inyo,0,0
Kern,0,0.03125
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0.125
Mendocino,1,0.625
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,1,0.625
Plumas,0,0
Riverside,1,0.625
Sacramento,0,0.125
San Benito,0,0
San Bernardino,0,0
San Diego,0,0.375
San Francisco,0,0
San Joaquin,0,0.125
San Luis Obispo,0,0
San Mateo,0,0.125
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0.125
Sierra,0,0
Siskiyou,0,0
Solano,0,0.125
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0.25
Trinity,0,0.125
Tulare,0,0.125
Tuolumne,0,0.125
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0.125
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0.125
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0.125
Monterey,0,0
Napa,0,0
Nevada,0,0.125
Orange,0,0
Placer,0,0.125
Plumas,0,0
Riverside,1,0.625
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0.125
San Diego,0,0.375
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0.125
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0.125
Tuolumne,0,0
Ventura,0,0.125
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0.125
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0.25
Imperial,0,0
Inyo,0,0
Kern,0,0
Kings,0,0.125
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0.125
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,1,0.875
Sacramento,0,0
San Benito,0,0.125
San Bernardino,0,0
San Diego,0,0.25
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0.125
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0.125
Santa Cruz,0,0.125
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0.125
Imperial,0,0
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0.125
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0.125
Plumas,0,0
Riverside,1,0.875
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0.375
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0
Santa Barbara,0,0.03125
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0.125
Imperial,0,0
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0.125
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0.125
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,1,0.75
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0.375
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0.125
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0.125
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0.125
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0.125
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0.125
Lassen,0,0
Los Angeles,0,0
Madera,0,0.125
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0.125
Nevada,0,0.25
Orange,0,0
Placer,0,0.125
Plumas,0,0
Riverside,1,0.75
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0.5
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0.125
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0.125
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0.125
Ventura,0,0
Yolo,0,0
Yuba,0,0.125
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0.125
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0.125
Imperial,0,0
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0.125
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0.125
Napa,0,0
Nevada,0,0.125
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,1,0.875
Sacramento,0,0
San Benito,0,0.125
San Bernardino,0,0.125
San Diego,0,0
San Francisco,0,0.125
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0.25
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0.125
Shasta,0,0
Sierra,0,0
Siskiyou,0,0.25
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0.125
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0.375
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0.125
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0.25
Imperial,0,0
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0.125
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0.125
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,1,0.875
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0.125
San Diego,0,0.125
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,1,0.75
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0.125
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0.125
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0.125
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0.125
Imperial,0,0.125
Inyo,0,0.125
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0.125
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
